,Title,Author,Story Summary,chapter Amount
160,A New Year's Kiss,mayraki," On New Year's Eve, Hololive was hosting a big party, but Okayu falls sick.    ",1
161,Holo-Life ZERO,TruVlu," Sora, Suisei, and AZKi, three girls who's dream is to become idols bringing joy and entertainment to others, after the huge success of their most recent concert their dreams are now in arms reach, so why not take a short vacation? But little do they know they still have a few hurdles and challenges to go through to reach their goal.    ",6
162,Holo New Years!,Wiggles, A bit I wanted to whip up in time for New Years at the last moment for a gift to all the member's of Hololive.    ,1
163,Saikyou da yo! — Short IRyS flash fiction thing I wrote.,The_Bird_of_the_Mountain, ,1
164,Belong,rinre," It's not just words. This is something tangible. And for a time-traveler, this is very important.    ",1
165,Thawing,sIRoDDbALL, The only fire keeping Mio alive was her drive to survive.(forgot to mention this but Happy 3rd Anniversary Mio! And FubuMio too!)    ,1
166,I am Time,g4wrr, A detective goes back in time.Stone.    ,1
167,Time and the Time Traveler,Magetro21," Fighting for the present and future, for the past and for her love. Watson Amelia uses her contract with time and summons the being who controls time to help her fight.Has blood mention don't read if you no likey    ",1
168,Ame's Goodbye,Tangent_Silver," Amelia time travels to the past to visit with each of her Holomyth peers before they came together under Hololive, but something is weighing heavily on her mind. After saying some heartfelt words, she attempts to sneak off into the night while her friends are asleep; but Calliope confronts her...    ",1
169,AmeTori,apollospvtnik, Ame and Kiara have lesbian sex.    ,1
170,An Endless Ouroboros,IrishMoniv, Calli wants those closest to her back...    ,1
171,Two Animals Holding Hands,Scump_Smallbrain, It wasn't a big moment when Sana held Ina's hand for the first time in ten years.    ,1
172,After Forever,AphelionLies, The mankind cried for help...for hope and hope responded but at what cost?    ,1
173,human enough,rinnie (sp_r_ing)," It shouldn’t be the same, because the weight that comes with his injuries, in the most literal and real sense, is not much in comparison to any of the other stars. But it does feel the same, because it’s Rikka. (Arurandis waits for Rikka to wake up.) (Same universe as TCNoF; Can be read on its own; Rikka lore focus)    ",1
174,Moonlit Dances,Gl1tch3dOracle," “No no, I didn’t mean inside- I wanted to show you something” Ina’s grip and Amelia’s hand tightened ever so slightly.Ever so swiftly and gracefully, Ina was now balancing on the thin railing, several of her tentacles making a staircase like structure. Her gloved hand was still firmly grasped in Amelia’s, and with little hesitant, Amelia hoisted herself up next to the priestess. The two shared a gleeful look before stepping over the edge, making their way down to the lake.    ",1
175,From Another World Volume 2: Lost Memories,Cenonn," After losing control of his powers, Mikage realized that his memories were completely wiped. Thanks to Oga's suggestion, Amelia, Mikage, and Anya travel to find the Hall of Memories. But with a strange organization after him, will Mikage have a chance to recover them?    ",19
176,Atashi Vampire,KingMufasa," After the Halloween EN collab, Amelia has a very interesting request for Kiara.    ",1
177,000,N00b_edY, Is it proper to regard 'isekai' as 'world transfer'?- AmeSame Side    ,2
178,Yes!,Magetro21," AmeSameAmelia Watson finally chooses this day to be the day she proposes to her 4 year girlfriend, Gawr Gura. Keeping a silly childhood promise they made thousands of years ago.They go on a date, have fun and at the end of the day, Amelia musters every small drop of her courage and proposes.What'll Gura say?    ",1
179,Two Animals Holding Hands,Scump_Smallbrain, It wasn't a big moment when Sana held Ina's hand for the first time in ten years.    ,1
180,"what's cooking, good looking?",DonLucky, distance only makes the heart go fonder    ,1
181,An Endless Loop Of Fate,ExistingClaire, Fate.......Is it really a blessing? Or more of a curse?For Hope and Chaos it seems just combination of bothWhen they break the curseWhen they are ABLE to break the curseWill the blessings also fade?    ,1
182,human enough,rinnie (sp_r_ing)," It shouldn’t be the same, because the weight that comes with his injuries, in the most literal and real sense, is not much in comparison to any of the other stars. But it does feel the same, because it’s Rikka. (Arurandis waits for Rikka to wake up.) (Same universe as TCNoF; Can be read on its own; Rikka lore focus)    ",1
183,Moonlit Dances,Gl1tch3dOracle," “No no, I didn’t mean inside- I wanted to show you something” Ina’s grip and Amelia’s hand tightened ever so slightly.Ever so swiftly and gracefully, Ina was now balancing on the thin railing, several of her tentacles making a staircase like structure. Her gloved hand was still firmly grasped in Amelia’s, and with little hesitant, Amelia hoisted herself up next to the priestess. The two shared a gleeful look before stepping over the edge, making their way down to the lake.    ",1
184,From Another World Volume 2: Lost Memories,Cenonn," After losing control of his powers, Mikage realized that his memories were completely wiped. Thanks to Oga's suggestion, Amelia, Mikage, and Anya travel to find the Hall of Memories. But with a strange organization after him, will Mikage have a chance to recover them?    ",19
185,Report on Gawr Gura,Elleipsis, Amelia was tasked to write a report of Gura. This is what she wrote. Detectives probably do stuff like this.    ,1
186,Waltz,Halcyonemertean," Gura smelled blood and magic. Even above the reek of the apartment complex, tainted by years of illegal alchemy and probably a few scuffles involving more direct forms of magic, this scent stood out. Gura knew it well. The smell of the abyss. That hole in time where primordial things seeped into conventional space. A scent like gunpowder but it burns the nose like onions and makes the mind hazy.    ",1
187,"if it's real, then i'll stay",ZoneTheory," and for a brief moment, we were[Just Some Drabbles]    ",4
188,Yes!,Magetro21," AmeSameAmelia Watson finally chooses this day to be the day she proposes to her 4 year girlfriend, Gawr Gura. Keeping a silly childhood promise they made thousands of years ago.They go on a date, have fun and at the end of the day, Amelia musters every small drop of her courage and proposes.What'll Gura say?    ",1
189,Take me to the ocean where happiness comes in waves,reo_oo1, Gura overcomes her fear of the ocean in three parts.    ,1
190,Mix n' Match,bulkbronze, Amelia has met herself thousands of times.    ,1
191,Burn,rinre," What Bae had forgotten to factor in was that Irys would be her undoing, not the other way around.    ",1
192,It's 2:50am goddamnit I can't think of a title lmao,Magetro21, ,1
193,When you feel blue I will sing for you,Magetro21," ""Even if my favorite color is blue, I don't like seeing you so blue""    ",1
194,Changing History,Errbin," Clara, Faunii, and Walter thought they were just three abandoned kids but after having contact with a random woman who knew them personally they find out the dark truth of who they were and soon find out what happened to their parents. Could they save them and the world before the inevitable destruction?    ",16
195,Chaos Theory,Meowlordfur," Gura gets a strange gift from an old woman, and brings it back to her shared apartment with Amelia and Ina. Unbeknownst to them, this gift will literally change their lives physically and mentally. A link is created that allows them a connection to one another that they've never had before, leading to incredible experiences, but it will also bring forth unseen trouble.    ",9
196,Underneath the Mistletoe,JNES, Luna was minding her business at a Christmas party when she realized Matsuri-senpai was using the mistletoe to her advantage!!    ,1
197,An Alliance in the Shadows,Lily Catts (Borjarnon)," In the backdrop of a dying world, Amelia and Calliope share secrets, but both of them have more emotional scars than they're willing to let on.    ",1
198,An Axe to the Heart,Fate19," When Miko gets jealous, she starts sulking and whining. When Suisei gets jealous, she starts killing.    ",2
199,Signals from Atlantis,The_Architect_Of_Light," One evening after spending the night at Amelia's, Gura notices something out in the ocean... Could this be?    ",2
200,FRACTAL WAVES.,makuradayo, edit:ok so this is updating occasionally now i guess because i was having amesame thoughts in the middle of the night when i couldn't fall asleepi may be down bad    ,5
201,Interrogation,notmeromero, Ina is interrogated for causing the doom of the world    ,1
202,Burn,rinre," What Bae had forgotten to factor in was that Irys would be her undoing, not the other way around.    ",1
203,It's 2:50am goddamnit I can't think of a title lmao,Magetro21, ,1
204,When you feel blue I will sing for you,Magetro21," ""Even if my favorite color is blue, I don't like seeing you so blue""    ",1
205,Smol Problem,CaptainCaper," After some cross-dimension time travel, Amelia Watson has a smol problem.    ",1
206,Glitched,HoloFan," After a night of making plans for an offline collab with Gura goes wrong, Amelia wakes up to find out that she’s trapped in Minecraft with the shark. The two must survive the strange new circumstances they find themselves in as they begin to grow closer from the experience.    ",29
207,An Axe to the Heart,Fate19," When Miko gets jealous, she starts sulking and whining. When Suisei gets jealous, she starts killing.    ",2
208,Happy birthday have a jealous Ame :kekw:,Magetro21," ""Happy Birthday Gawr Gura"" Is all the context you need    ",1
209,Sunrise,Tripsout2 (Azureshadowmoon), Mornings start with her.    ,1
210,Report on Gawr Gura,Elleipsis, Amelia was tasked to write a report of Gura. This is what she wrote. Detectives probably do stuff like this.    ,1
211,Berries for BaeRyS,StoryCorner," IRyS has called Baelz over to talk about their Relationship. This makes the Chaotic Rat upset, who wishes to make things better. And what else can bring a couple back together, but some berries?    ",1
212,An Alliance in the Shadows,Lily Catts (Borjarnon)," In the backdrop of a dying world, Amelia and Calliope share secrets, but both of them have more emotional scars than they're willing to let on.    ",1
213,A Flawed Individual,JowaPlays," Mashiba's visiting Ishida in the hosiptal upon hearing some urgent news. Kawai feels she should tag along, but she can't bring himself to enter. When Mashiba exits the hospital, Kawai feels a curiosity fueled by regret and melancholy, and she's determined to find out the truth.Also part of my 100 Fandom Hell Challenge. Fandom 3 - A Silent Voice    ",1
214,Waltz,Halcyonemertean," Gura smelled blood and magic. Even above the reek of the apartment complex, tainted by years of illegal alchemy and probably a few scuffles involving more direct forms of magic, this scent stood out. Gura knew it well. The smell of the abyss. That hole in time where primordial things seeped into conventional space. A scent like gunpowder but it burns the nose like onions and makes the mind hazy.    ",1
215,AlterMyth,Elias_Pedro," Amelia Watson, a young girl bored with the monotony of her college life in Victorian England at the turn of the century, always longed for an adventure. Her chance would come when a mysterious letter from a triangle-shaped seal arrived at her home. Little did she know that by opening that letter, she would be brought on an adventure beyond her wildest dreams! She would face a great serpent on the high seas, clash with strange beings in France, meet a rootin' tootin gun-toting Atlantean and track down the last Phoenix in the world. She would even get snagged up in a grand conspiracy that could shatter reality as she knew it!Will Amelia be able to come back home to London in one piece? Or will she bite off more adventure than she can chew? Find out in Amelia's journey through the wild and wonderful world of AlterMyth!(Inspired by the upcoming Hololive Alternative universe!)Official Poster/Book Cover by @Zarasaru:  ‘""Let's go on an adventure!"";    ",30
216,Underneath the Moon,Magetro21, Just two dorks Underneath the Moon    ,1
217,Glitched,HoloFan," After a night of making plans for an offline collab with Gura goes wrong, Amelia wakes up to find out that she’s trapped in Minecraft with the shark. The two must survive the strange new circumstances they find themselves in as they begin to grow closer from the experience.    ",29
218,Happy birthday have a jealous Ame :kekw:,Magetro21," ""Happy Birthday Gawr Gura"" Is all the context you need    ",1
219,"Hey Ame, Sorry Ame",mofumashu, :) Twitter / Instagram: @mofumashu    ,18
220,If Eternity No Longer Exist,Zein_Valhein, It seems that not even the apprentice of Death itself could be as eternal as people seem to believe.    ,10
221,Jelly,N00b_edY, Guess who's jealous?    ,1
222,Report on KFP,Elleipsis," Following her first report, Amelia was assigned to write a second one, this time on KFP and Kiara. This is what she wrote.    ",1
223,2 minus 1,Crimsone,  I don't need you anymore      I can't get you out of my head    ,1
224,Seeing Stars,AlfaWurst," When Amelia Watson looks to the night sky, Gawr Gura wonders, “Why…?”And she does so out loud.-----Ame and Gura go stargazing. What's the worst that could happen?    ",1
225,Can't Help Falling In Love,Caprice_Celestial," “…Dumb,” Amelia said with a huffed and Gura just let out a weak laugh at that because yes, she is dumb. How come she didn’t realize her feelings until this Hanahaki Disease infected her?    ",1
226,Bae asks for Relationship Advice,SumDumMuffin, Bae receives relationship advice for how to approach Irys from everyone she knows. Some of it is even helpful.    ,1
227,Out of Time,FryingPanLlama," Amelia Watson, time traveler and ex-detective of Hololive, had been living an ordinary life for years after Hololive had ended. She had fallen out with most of her friends, but was still okay, despite the sadness inside her. That was until she blacked out in 2040, and woke up 1000 years later, in the apocalypse. After surviving the wasteland for 30 years in 3074 she's given a chance to go back to 2040 and save the world with the help of her friends from long ago.    ",1
228,Christmas Special with Holostars,lunecarlate," It was Christmas Eve... But you are alone again as always. *sighs* What can you do? Even thought it was Christmas Eve but you have to spend it alone? Or not?! You have the boys over the screen to accompany you, though. Why need to feel lonely and sad? Yes, exactly, the boys will accompany you through and through the whole Christmas Eve.   Disclaimer:I own nothing but the writings and story for this short fanfiction. This is merely a fanfiction that came to my mind after I heard the Christmas Voice Packs of the Holostars. I might be basing it off and on from the VPs. BEWARE! There MIGHT be some SPOILERS. For the image cover used, it was also not by me. It's an official art created for the Holostars Christmas Voice Pack. I'm just borrowing it temporarily (plan to change it later).    ",2
229,It doesn't matter who we are,Ijrahnie," Iname, baerys, takamori and pavollie in the production of a movie    ",1
230,Watson is Mine!,Magetro21, ,1
231,call that SeaWorld,wingnutcase," Gee Watson, how come your mom lets you have TWO girlfriends?    ",1
232,Signals from Atlantis,The_Architect_Of_Light," One evening after spending the night at Amelia's, Gura notices something out in the ocean... Could this be?    ",2
233,FRACTAL WAVES.,makuradayo, edit:ok so this is updating occasionally now i guess because i was having amesame thoughts in the middle of the night when i couldn't fall asleepi may be down bad    ,5
234,Letters trilogy,spicychicken01," The postman give the red head a letter Three fanfic was Written by Werson Carrion, a vietnamese writer, now she is a part of Holowriterstranslation by Mary Yashira    ",2
235,holoX Leaked Documents,JowaPlays, Leaked documents including contingency plans regarding the detainment and/or defeat of members in hololive.    ,4
236,At Her Prettiest,Birdy5678," Amelia revisits her favorite memory of Gura, and wishes for an escape that will never come.    ",1
237,Trick or Treat!,mayraki, ,1
238,The girl from Watson's industries.,Magetro21, A countryside au thingy majigy for chief alfa cause ily buddy >Gura from the sides of country>Amelia from the cities>They meet And boom! You got romance :heymamasteamate:    ,1
239,"""But I do know you exist""",Magetro21," A girl walks towards the rooftop carrying her bag and an instrument. Once she sat down on the floor, she began singin a song he originally wanted to keep to herself, but she made it for her crush. ""Does she really even know I exist?"" Spoiler Alert: She does lmao    ",1
240,2 minus 1,Crimsone,  I don't need you anymore      I can't get you out of my head    ,1
241,A Birthday Surprise,Kirito126, ,1
242,Ride On Time (feat. Calliope Mori),Lily Catts (Borjarnon), Gura enlists Calliope's help in exploring the surface world. Much bonding ensues.Holocreative Prompt Week #3: Roadtrip    ,1
243,An Apex Predator (Part 1),s_aster," The girls - Calli, Kiara, and Gura - invite Amelia to live with them.Amelia struggles with domestic life.    ",1
244,call that SeaWorld,wingnutcase," Gee Watson, how come your mom lets you have TWO girlfriends?    ",1
245,Everything,franchium," ""What do you plan to give up for your...friends?”""Everything.""No pause, no hesitation, absolutely no doubt in her response. In that moment, it was no longer Calliope Mori, Death’s only apprentice apprentice, standing before them, but Calli: rapper, lyricist, friend, and loved one; fully aware of the ramifications of her decision.    ",2
246,Ticking Time Bomb,Tripsout2 (Azureshadowmoon), Not every problem can be fixed.    ,1
247,If Eternity No Longer Exist,Zein_Valhein, It seems that not even the apprentice of Death itself could be as eternal as people seem to believe.    ,10
248,Signals from Atlantis,The_Architect_Of_Light," One evening after spending the night at Amelia's, Gura notices something out in the ocean... Could this be?    ",2
249,FRACTAL WAVES.,makuradayo, edit:ok so this is updating occasionally now i guess because i was having amesame thoughts in the middle of the night when i couldn't fall asleepi may be down bad    ,5
250,Interrogation,notmeromero, Ina is interrogated for causing the doom of the world    ,1
251,Eschaton - Council,Emma Nonn (EmmaNonna)," Sequel to Eschaton, after her fight against the Myths, Amelia faces the Council.    ",2
252,Star Kissed Shoulder,Tripsout2 (Azureshadowmoon)," Late at night, they can rely on each other.    ",1
253,Depths,valoror," Y̴͍͠à̵̻b̶̨̐-̴̺̓S̵̡͆o̵͉͊l̴͕͊o̵̪͒t̸̛͖ḣ̶̜o̸̡ẗ̵̜h̷̦͂ ̶̗̓s̶̖l̴̤̕ṷ̸̆m̷̭̿b̴̥́e̴̯͘r̸̟͝s̵̳̄ ̷̠a̷̼n̷͊͜d̴̤͗ ̸̡̓á̷͚w̵͚̑ȃ̴̙k̸̦̒e̴͚͛n̴̜͝s̵̼A story in which a possessed Ina tentacle rapes Amelia and Gura.[If you just want to skip to consentacles, start at chapter 4]    ",5
254,Punishment,valoror," Oi, Watson.You lost, it's time for a punishment game, uwahaha.    ",1
255,Ticking Time Bomb,Tripsout2 (Azureshadowmoon), Not every problem can be fixed.    ,1
256,About April Fools',funSizeHeng, Council and Hope had a fun day for April Fools.The Keeper of Nature went visiting the Speaker of Space after the streams.    ,1
257,I miss Gura,Magetro21," ""Wheres Gura?""""She's been gone for so long""""I miss Gura""""I want kisses""""Gura.."" All of these thoughts filled the poor detective's head, and God. Dang. Was she fucking adorable!    ",1
258,sillage,Z__Star, n. A scent of perfume that lingers in the air. The trail of a plane in the clouds. The traces left after someone is gone.    ,1
259,Shinning Blade,jcwasheregt," In this story, A-chan has been tasked with recruiting 3 badass people (Enma, Jenma, and J-chad), who would be able to later recruit 5 mythological creatures and convince them to join their entertainment company. This Chapter specifically focuses on A-chan's first encounter and meeting with Enma, an employee at a black-code corporation. Will A-chan manage to convince Enma to take up this challenge?    ",1
260,Artist's Ache,CaptainCaper, Ina'nis Watson overworks herself and struggles to find purpose.    ,1
261,May Your Love Grow Infinitely Stronger,0Walpurgis0," After dating for two years, Kiara and Calli finally have their wedding.    ",1
262,Eschaton - Council,Emma Nonn (EmmaNonna)," Sequel to Eschaton, after her fight against the Myths, Amelia faces the Council.    ",2
263,"Don't touch it, it's sensitive",vaaa_aaaaa_aaaale," After a day of playing Mario Kart with Bae, IRyS finds out that her tail is quite... sensitive.    ",1
264,"""Priestess the shark is mine""",Magetro21, Hm    ,1
265,Hands,Tripsout2 (Azureshadowmoon), There are two hands on the clock. Amelia wants to keep it that way.    ,1
266,Bae gives a concert and Irys is also there,SumDumMuffin, Bae gets support from a beloved senpai in a concert.    ,1
267,A Massage for Your Thoughts?,Meowlordfur," This is a removed scene from chapter 39 of Among the Myths. It starts rather abruptly, so you may be a little lost if you don't read chapter 39 to see where exactly it begins. There's some spoilers for Among the Myths in this, but if you don't mind that, then I think it should be understandable enough to read stand alone.Premise is that Amelia is stressing out due to factors out of her control, so to try and get her to relax, Ina decides to give her a massage, and maybe a little extra on top of that...    ",1
268,Death Cometh,Emma Nonn (EmmaNonna), The Star sees Death a different way.    ,3
269,People Watching With(out) Intent to Eat,N00b_edY, An attempt of seeing Gura's PWWIE from another angle.    ,1
270,Blue-eyed Moment,LikeWavesAtSea, Short fic of sharing your love of animals with this blue eyed detective    ,1
271,The Investigation,Elias_Pedro," When the psychological horror drama at Hololive's Haachama Channel started getting out of hand, the Hololive JP Office sought help from their English branch's resident detective, Amelia Watson to uncover the truth.However, this investigation will not be as straightforward as it seems.    ",1
272,The girl from Watson's industries.,Magetro21, A countryside au thingy majigy for chief alfa cause ily buddy >Gura from the sides of country>Amelia from the cities>They meet And boom! You got romance :heymamasteamate:    ,1
273,"""But I do know you exist""",Magetro21," A girl walks towards the rooftop carrying her bag and an instrument. Once she sat down on the floor, she began singin a song he originally wanted to keep to herself, but she made it for her crush. ""Does she really even know I exist?"" Spoiler Alert: She does lmao    ",1
274,Rekindling Old Memories,LostChild911, ,1
275,The Detective Thinks Aloud,BlueMobius," Ame's space shuttle was destroyed and she's stranded in the sea of silent darkness and waves of stardust, until someone's voice reached her out.    ",1
276,What the Rain Brings,Lily Catts (Borjarnon)," Amelia Watson can't stand it, despite everything going well today.    ",1
277,Tears Over Wounds,AlfaWurst, A detective comes home but is greeted by a ticked-off shark girl.    ,1
278,Aurora,The_Architect_Of_Light, Watson Amelia comes through from a battlefield (Time Jump) with more than just a little damage...    ,1
279,2am again what even is writing anymore,Magetro21, Its 1am and I have no idea what to do so don't read if you don't want to blahblahblahedit: it's now 2am    ,1
280,Covered in Flowers,PhoebeGalaxy," Amelia was used to receive presents from the girl she loved the most, as years went on, as their relationship kept growing to the point of having a family and one promised present kept being delayed, she understands what it means to be the special someone of Gawr Gura.    ",1
281,"A necromancer, her rabbit familiar, and three of the dead that they rise",Peko_Chungus69," An origin story of how Holofantasy, aka, Hololive 3rd gen met.    ",1
282,holoX Leaked Documents,JowaPlays, Leaked documents including contingency plans regarding the detainment and/or defeat of members in hololive.    ,4
283,A Birthday Surprise,Kirito126, ,1
284,Ardor,SweetNectarDew," Calli, art blocked and exhausted from another all-nighter working on her album, is called by Kiara to hopefully chill out and relax.However, the topic of Kiara moving out of the country comes up, and Calli is in denial of how much she'd miss Kiara once she's left.Meanwhile, Death has a special assignment for Calli, one that takes her to a place quite alien to her, and yet somehow familiar.She takes up her scythe to confront the hostilities of a dying world, and to face the anxieties of her passions.    ",7
285,a million first kisses,Tripsout2 (Azureshadowmoon), Gura falls in love over and over again.    ,1
286,Sunrise,The_Architect_Of_Light, A small piece here. I'm trying out a different style of writing. Let me know what you think! :)    ,1
287,Punishment,valoror," Oi, Watson.You lost, it's time for a punishment game, uwahaha.    ",1
288,Everything,franchium," ""What do you plan to give up for your...friends?”""Everything.""No pause, no hesitation, absolutely no doubt in her response. In that moment, it was no longer Calliope Mori, Death’s only apprentice apprentice, standing before them, but Calli: rapper, lyricist, friend, and loved one; fully aware of the ramifications of her decision.    ",2
289,The Case Study of Ina'nis Ninomae,Gl4re," The Council has decided to eradicate Ina'nis Ninomae from all possible existences, but Amelia Watson interfered and managed to save the one from her own reality. The Warden of Time has given her a chance by proving that the eradication was unnecessary, but the Council won't let her rest so easy. Will she be able to crack the case in time?    ",2
290,En Rose,rinre," In a ball at the end of the world, a dance.    ",1
291,Punishment,valoror," Oi, Watson.You lost, it's time for a punishment game, uwahaha.    ",1
292,Tears Over Wounds,AlfaWurst, A detective comes home but is greeted by a ticked-off shark girl.    ,1
293,People Watching With(out) Intent to Eat,N00b_edY, An attempt of seeing Gura's PWWIE from another angle.    ,1
294,The Case Study of Ina'nis Ninomae,Gl4re," The Council has decided to eradicate Ina'nis Ninomae from all possible existences, but Amelia Watson interfered and managed to save the one from her own reality. The Warden of Time has given her a chance by proving that the eradication was unnecessary, but the Council won't let her rest so easy. Will she be able to crack the case in time?    ",2
295,World's End Waltz,Tripsout2 (Azureshadowmoon)," “Would you dance with me?” Ina whispers, her voice something tantalizing and wonderful, “One last waltz at the end of the world. For me, detective?”     ",1
296,The Lie Detector,Kousaka_Erena," Korone wounds up bored and forces Gura and her pal, Watson, to join in on an unplanned stream.    ",1
297,The Sun Sets,AlfaWurst," At the end of her life, a retired detective finds herself staring out at the expanse of the ocean, taking in what she's seen to be her final sunset. She's joined by an old friend, her last remaining family, in her final moments. She's being called home now. A reaper fulfills her duty. A detective rests her final case.    ",1
298,What if we Kissed in the Sapphire Forest? (and we were both Magikats™),Scump_Smallbrain," Amelia Watson is a Normal Girl, she promises. She would never be read manga, or roleplay on internet forums... especially not for a 1990s shoujo anime about magical talking cats that aired on 4Kids.After all, if Amelia did any of that, she would surely be shunned by her popular friends. Shunned like the socially outcast Shark Tail Girl who comes to school wearing all black and draws anime girls in her notebook.But hypothetically, if Amelia were to do all those things...Then she might meet someone online. A friendly stranger who becomes a strange friend.And it might just be that she has more in common with Shark Tail Girl than she thought.A story about learning to love the cringe.    ",3
299,Rekindling Old Memories,LostChild911, ,1
300,The Detective Thinks Aloud,BlueMobius," Ame's space shuttle was destroyed and she's stranded in the sea of silent darkness and waves of stardust, until someone's voice reached her out.    ",1
301,What the Rain Brings,Lily Catts (Borjarnon)," Amelia Watson can't stand it, despite everything going well today.    ",1
302,My Own Happiness,PhoebeGalaxy," A few years after arriving at this point in time, Amelia writes a letter for a special someone to tell her everything.    ",1
303,404 Friend Not Found,SugoiBoi," Everyone's favorite orange idol, Momosuzu Nene, also gets isekai'd a second time. Instead of being in the middle of the battlefield, however, she appears in the G&K Headquarters. Her reception to the situation is... different from Reine.    ",3
304,Aurora,The_Architect_Of_Light, Watson Amelia comes through from a battlefield (Time Jump) with more than just a little damage...    ,1
305,2am again what even is writing anymore,Magetro21, Its 1am and I have no idea what to do so don't read if you don't want to blahblahblahedit: it's now 2am    ,1
306,Covered in Flowers,PhoebeGalaxy," Amelia was used to receive presents from the girl she loved the most, as years went on, as their relationship kept growing to the point of having a family and one promised present kept being delayed, she understands what it means to be the special someone of Gawr Gura.    ",1
307,--- -. . / ... .. -.. . -.. / .-.. --- ...- . ..--..,Magetro21, ... .- -.. / ... .... .- .-. -.- / .... ..- .-. - ... / -- . / ... --- / -- ..- -.-. .... / --. --- -.. / -.. .- -. --. / .. - / .- -- . .-.. .. .- / .-- .... -.-- / -- ..- ... - / -.-- --- ..- / -.. --- / - .... .. ... / - --- / --- ..- .-. / .--. --- --- .-. / ... .... .- .-. -.-    ,1
308,Sleeping Beauty,CaptainCaper," When a young Princess falls under a terrible curse, only true love's kiss can wake her from eternal slumber.    ",1
309,Parliamei,Truthius, A Story of Hololive written by me. Self-Insert OC included so if you dont like that you dont have to read it(Just a warning if you dont like self insert oc)HoloCouncil wants to set up a a birthday party for their dear leader Hakos Baelz although something is not right...    ,1
310,Hollow Lives,"FreezingKaiju, FrenchScreaming"," The graduates of Kisaragi High, full of promise and plans and dreams, have fallen apart, turned on each other, and gone their seperate ways.Ninomae Ina'nis, shrine maiden, has taken on her father's responsibilities at the Ninomae Shrine, a job that tires her enough to sleep through most of her part time job.Calliope Mori, girlboss turned girl-wage-slave, has enough jobs to afford a better place than she lives, but something's gotta pay those student loans, even if it leaves her dead on her feet.Kiara Takanashi, lowly KFC employee, just wants to be alone with her family's farm and her memories of when there were others at the table.Gawr Gura, honor student to the last, tries to fill the hole in her heart with a Master's Degree in anything, anything at all. And Amelia Watson, wash-up, drop-out, failure they always said she was, lays on the carpet and tries to figure out why the world feels so...wrong.Why it feels like she's being watched.Where all the time's gone, and why it feels like it's stopped.    ",2
311,The Lie Detector,Kousaka_Erena," Korone wounds up bored and forces Gura and her pal, Watson, to join in on an unplanned stream.    ",1
312,The Sun Sets,AlfaWurst," At the end of her life, a retired detective finds herself staring out at the expanse of the ocean, taking in what she's seen to be her final sunset. She's joined by an old friend, her last remaining family, in her final moments. She's being called home now. A reaper fulfills her duty. A detective rests her final case.    ",1
313,A City of Dreams,Rook_385," Ina's adventures as she meets other girls who are accomplishing dreams or helping her when she needs it, however, there is something else to this city, something more akin to a dream...    ",5
314,Resting on Angel Wings,feartheViolet," Watson Amelia lives a quiet life. It's been years since she'd freed the girl she found to be possessed by the Ancient Ones. Now, she lives each day in peace. No more time travel. No more eldritch horror. Just her, the afternoon sun, and the angel in disguise she now lives with.    ",1
315,The Phoenix Chronicle,Niyusa," Another day, again?    ",3
316,My Own Happiness,PhoebeGalaxy," A few years after arriving at this point in time, Amelia writes a letter for a special someone to tell her everything.    ",1
317,Gura's Great Homestead Defense,Tripsout2 (Azureshadowmoon), In the unique case of a time traveler force feeding you their cooking.    ,1
318,I'm Staying,Magetro21," Time’s have changed, we can’t be the same forever.  Change is inevitable, Gura knew that, and she knew it well.    ",1
319,Not even Death will keep us apart,Magetro21, ,2
320,One way to remember,TheAncientBozo," Gura needs to study after failing her maths exam. Her shark brain is shaking. Fortunately, Watson is always to the rescue.    ",1
321,People Watching With(out) Intent to Eat,N00b_edY, An attempt of seeing Gura's PWWIE from another angle.    ,1
322,The Grim Rapper's Birthday Bash,Gl1tch3dOracle, Hololive English celebrate their very own reaper's birthday. Also Death-Sensei shows up.    ,1
323,dinner party,parten (Azureshadowmoon), amesame    ,1
324,The postman gave me a letter yesterday_Werson Carrion on facebook,spicychicken01, A letter that broke Baelz's heart...Writter: Werson Carrion on facebook/rmeizdebezt on wattpadTrans: just.a.takamori.shipper on facebook/OnVitLong1 on twitter/Neo675 on Wattpad/Spicychicken01 on AO3    ,1
325,Facing the Priestess,N00b_edY, ,1
326,Sink,rinre," There is a lake, and Gura floats. Amelia just thinks it's fair if she joins her.    ",1
327,The City,sIRoDDbALL," In the emptiness, two girls are brought into a world.    ",1
328,Amelia?,Magetro21, ...    ,1
329,A Flawed Individual,JowaPlays," Mashiba's visiting Ishida in the hosiptal upon hearing some urgent news. Kawai feels she should tag along, but she can't bring himself to enter. When Mashiba exits the hospital, Kawai feels a curiosity fueled by regret and melancholy, and she's determined to find out the truth.Also part of my 100 Fandom Hell Challenge. Fandom 3 - A Silent Voice    ",1
330,A City of Dreams,Rook_385," Ina's adventures as she meets other girls who are accomplishing dreams or helping her when she needs it, however, there is something else to this city, something more akin to a dream...    ",5
331,Sleeping Beauty,CaptainCaper," When a young Princess falls under a terrible curse, only true love's kiss can wake her from eternal slumber.    ",1
332,Deep End,Tripsout2 (Azureshadowmoon)," For one week every year, Gura disappears.    ",1
333,What Are You Doing Here?,Briltop, While Ina'nis gets lost daydreaming during her break at work she gets an unexpected visitor.    ,1
